CASE_STATUS,EMPLOYER_NAME,SOC_NAME,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE
CERTIFIED,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR ASSOCIATE JC60 - MANAGEMENT ANALYST,N,60133,2016,"RANCHO CORDOVA, CALIFORNIA"
CERTIFIED,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR ASSOCIATE JC60 - MANAGEMENT ANALYST,N,61069,2016,"TAMPA, FLORIDA"
CERTIFIED,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR MANAGER JC45 - MANAGEMENT ANALYST,Y,117229,2016,"LOS ANGELES, CALIFORNIA"
CERTIFIED,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,MANAGER JC50 - MANAGEMENT ANALYST,Y,80475,2016,"MILWAUKEE, WISCONSIN"
DENIED,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR ASSOCIATE JC60 - MANAGEMENT ANALYST,Y,74048,2016,"HARTFORD, CONNECTICUT"
DENIED,COGNIZANT TECHNOLOGY SOLUTIONS U.S. CORPORATION,COMPUTER SYSTEMS ANALYSTS,SENIOR ASSOCIATE JC60 - MANAGEMENT ANALYST,N,62837,2016,"CLEVELAND, OHIO"
CERTIFIED,INFOSYS LIMITED,ACCOUNTANTS,ASSOCIATE MANAGER - CORPORATE FINANCE,Y,93746,2016,"PLANO, TEXAS"
CERTIFIED,"MITHANI ENTERPRISES, INC.",ACCOUNTANTS,STAFF ACCOUNTANT,N,47965,2016,"JOHNS CREEK, GEORGIA"
CERTIFIED,"MITHANI ENTERPRISES, INC.",ACCOUNTANTS,STAFF ACCOUNTANT,N,47965,2016,"JOHNS CREEK, GEORGIA"
CERTIFIED,THEOREM LLP,ACCOUNTANTS,ACCOUNTANTS,N,47445,2016,"EL SEGUNDO, CALIFORNIA"
CERTIFIED,"CLARK NUBER, P.S.",ACCOUNTANTS,TAX SENIOR ACCOUNTANT - INTERNATIONAL AND PROVISIONAL TAX,N,63690,2016,"BELLEVUE, WASHINGTON"
CERTIFIED,"SEILER, LLP",ACCOUNTANTS,TAX SENIOR,N,57304,2016,"REDWOOD CITY, CALIFORNIA"
CERTIFIED,OHIOHEALTH CORP.,ACCOUNTANTS,FINANCIAL ANALYST,N,45698,2016,"COLUMBUS, OHIO"
CERTIFIED,IPS FUND SERVICES LLC,ACCOUNTANTS,OPERATIONS ASSOCIATE,N,47500,2016,"BOSTON, MASSACHUSETTS"
CERTIFIED,AMERICAN POLITICAL SCIENCE ASSOCIATION,ACCOUNTANTS,STAFF ACCOUNTANT,N,46924.8,2016,"WASHINGTON, DISTRICT OF COLUMBIA"
CERTIFIED,"CONNEXALL USA, INC.",ACCOUNTANTS,STAFF ACCOUNTANT,N,46051,2016,"BOULDER, COLORADO"
CERTIFIED,ENGAGED IN LIFE LLC,ACCOUNTANTS,STAFF ACCOUNTANT I,N,39728,2016,"PARKVILLE, MISSOURI"
CERTIFIED,AMERICAN POLITICAL SCIENCE ASSOCIATION,ACCOUNTANTS,STAFF ACCOUNTANT,N,46924.8,2016,"WASHINGTON, DISTRICT OF COLUMBIA"
